country,major_area,region,year 2017,year 2018,year 2019,year 2020,year 2021,year 2022,year 2023,year 2024,change_2017_24,change_21_22
Burundi,Africa,Eastern Africa,No data,No data,8.38,7.89,9.72,5.07,5.43,No data,-35.2,-47.84
Djibouti,Africa,Eastern Africa,No data,No data,10.60,13.48,17.75,8.27,22.42,17.08,61.1,-53.41
Ethiopia,Africa,Eastern Africa,No data,9.39,11.61,8.72,14.44,4.06,5.88,9.48,-83.1,-71.88
Kenya,Africa,Eastern Africa,15.18,14.82,15.50,15.23,17.41,8.98,10.38,11.59,-23.6,-48.42
Madagascar,Africa,Eastern Africa,No data,No data,32.94,33.61,45.98,24.70,29.81,27.41,-16.8,-46.28
Malawi,Africa,Eastern Africa,No data,No data,11.17,11.16,13.72,8.87,13.61,No data,21.8,-35.35
Mauritius,Africa,Eastern Africa,13.40,13.78,19.08,19.80,23.87,25.08,36.18,51.61,285.1,5.07
Mozambique,Africa,Eastern Africa,No data,6.36,7.21,8.61,8.84,5.81,10.37,16.48,159.1,-34.28
Reunion,Africa,Eastern Africa,40.24,No data,No data,No data,No data,No data,No data,No data,-,-
Rwanda,Africa,Eastern Africa,No data,No data,12.71,22.00,18.45,9.48,33.08,30.50,140.0,-48.62
Seychelles,Africa,Eastern Africa,No data,No data,25.67,34.64,33.27,31.78,29.67,No data,15.6,-4.48
Somalia,Africa,Eastern Africa,No data,No data,12.56,17.88,14.66,7.47,9.29,16.76,33.4,-49.05
Tanzania,Africa,Eastern Africa,8.76,11.61,13.10,14.96,17.93,11.12,16.49,18.61,112.4,-37.98
Uganda,Africa,Eastern Africa,6.70,No data,16.36,12.11,14.62,10.01,11.69,17.09,155.1,-31.53
Zambia,Africa,Eastern Africa,No data,No data,12.58,14.14,10.69,7.00,12.16,18.20,44.7,-34.52
Zimbabwe,Africa,Eastern Africa,9.49,No data,12.77,14.74,14.86,6.79,8.98,21.81,129.8,-54.31
